
capacity	voltage
1483.3436	3.9496
1485.5171	3.9489
1487.5696	3.9481
1489.6826	3.9475
1491.7957	3.9469
1493.9087	3.9463
1496.0217	3.9455
1498.1347	3.9449
1500.2478	3.9443
1502.3608	3.9434
1504.5351	3.9426
1506.6482	3.9420
1508.6999	3.9414
1510.8129	3.9408
1512.8642	3.9402
1515.0389	3.9394
1517.1520	3.9388
1519.2650	3.9382
1521.5020	3.9373
1523.4910	3.9368
1525.6662	3.9359
1527.7171	3.9355
1529.8301	3.9347
1532.0056	3.9341
1534.1187	3.9335
1536.1066	3.9329
1538.3449	3.9319
1540.3952	3.9313
1542.5711	3.9306
1544.6842	3.9300
1546.7973	3.9294
1548.9104	3.9287
1550.9604	3.9283
1553.0734	3.9277
1555.2498	3.9269
1557.4264	3.9260
1559.4760	3.9255
1561.5891	3.9249
1563.7022	3.9243
1565.8153	3.9237
1567.9284	3.9231
1570.0416	3.9225
1572.0906	3.9219
1574.2036	3.9213
1576.3167	3.9203
1578.4297	3.9199
1580.6071	3.9191
1582.6557	3.9187
1584.8979	3.9179
1586.8818	3.9174
1588.9948	3.9168
1591.1078	3.9162
1593.2209	3.9156
1595.3339	3.9150
1597.5771	3.9142
1599.6251	3.9138
1601.6730	3.9132
1603.7860	3.9127
1605.9644	3.9120
1608.0776	3.9113
1610.1251	3.9109
1612.3695	3.9103
1614.3511	3.9098
1616.5300	3.9091
1618.6431	3.9084
1620.8223	3.9077
1622.8032	3.9074
1624.9162	3.9068
1627.0293	3.9062
1629.2751	3.9055
1631.3218	3.9049
1633.4349	3.9045
1635.6147	3.9037
1637.6611	3.9031
1639.7742	3.9026
1641.8873	3.9020
1643.9335	3.9016
1646.1806	3.9010
1648.2938	3.9004
1650.2725	3.8999
1652.4529	3.8994
1654.4986	3.8990
1656.6791	3.8981
1658.7246	3.8978
1660.9730	3.8972
1663.0184	3.8967
1665.1316	3.8961
1667.2447	3.8956
1669.3578	3.8952
1671.4028	3.8947
1673.5158	3.8941
1675.6971	3.8935
1677.8102	3.8929
1679.9233	3.8923
1682.0364	3.8917
1684.0809	3.8912
1686.1940	3.8907
1688.3758	3.8903
1690.4200	3.8897
1692.6020	3.8892
1694.7151	3.8886
1696.7591	3.8882
1698.9413	3.8877
1700.9851	3.8872
1703.2370	3.8865
1705.3502	3.8859
1707.3242	3.8856
1709.5069	3.8849
1711.5503	3.8846
1713.7331	3.8840
1715.7763	3.8836
1717.9593	3.8831
1720.0724	3.8825
1722.1856	3.8822
1724.2987	3.8816
1726.4118	3.8810
1728.5249	3.8805
1730.6380	3.8801
1732.7511	3.8796
1734.7935	3.8791
1736.9066	3.8785
1739.0904	3.8781
1741.2745	3.8776
1743.2456	3.8772
1745.4298	3.8767
1747.4717	3.8762
1749.5847	3.8756
1751.6977	3.8750
1753.8822	3.8746
1755.9953	3.8741
1758.0368	3.8737
1760.1498	3.8732
1762.2629	3.8727
1764.4478	3.8721
1766.4889	3.8718
1768.6019	3.8714
1770.7871	3.8709
1772.9002	3.8705
1775.0133	3.8700
1777.0540	3.8694
1779.1671	3.8689
1781.3527	3.8685
1783.3931	3.8679
1785.5061	3.8674
1787.6920	3.8669
1789.7322	3.8665
1791.7722	3.8662
1793.9582	3.8657
1796.0713	3.8653
1798.1843	3.8648
1800.2239	3.8643
1802.3369	3.8637
1804.5234	3.8631
1806.6364	3.8628
1808.7494	3.8622
1810.7886	3.8618
1813.0493	3.8613
1815.0885	3.8608
1817.1274	3.8605
1819.3887	3.8599
1821.3533	3.8596
1823.5406	3.8590
1825.7280	3.8587
1827.7666	3.8581
1829.8797	3.8576
1832.0673	3.8572
1834.1804	3.8567
1836.2936	3.8563
1838.4067	3.8558
1840.5198	3.8553
1842.5578	3.8550
1844.6708	3.8546
1846.8591	3.8541
1848.8969	3.8537
1851.0099	3.8532
1853.1984	3.8527
1855.2360	3.8524
1857.3490	3.8518
1859.5378	3.8514
1861.4992	3.8511
1863.6881	3.8505
1865.8771	3.8500
1867.9141	3.8495
1870.0271	3.8492
1872.1402	3.8488
1874.2532	3.8483
1876.4427	3.8479
1878.4792	3.8476
1880.6689	3.8471
1882.7820	3.8463
1884.8951	3.8459
1886.9313	3.8457
1889.1213	3.8451
1891.1574	3.8448
1893.2704	3.8444
1895.3834	3.8439
1897.5738	3.8434
1899.6095	3.8431
1901.8775	3.8425
1903.8355	3.8422
1906.0262	3.8418
1908.1393	3.8413
1910.2524	3.8408
1912.2876	3.8405
1914.5567	3.8399
1916.5137	3.8396
1918.6267	3.8392
1920.7397	3.8386
1923.0095	3.8381
1924.9658	3.8379
1927.0788	3.8373
1929.1132	3.8370
1931.3836	3.8366
1933.5755	3.8361
1935.6887	3.8357
1937.7229	3.8352
1939.7570	3.8349
1941.9491	3.8344
1944.0622	3.8340
1946.0960	3.8335
1948.3678	3.8331
1950.3221	3.8328
1952.4351	3.8323
1954.5481	3.8320
1956.6612	3.8315
1958.8540	3.8311
1960.8872	3.8306
1963.0802	3.8302
1965.1133	3.8297
1967.3866	3.8293
1969.4196	3.8288
1971.4523	3.8283
1973.6458	3.8280
1975.7589	3.8277
1977.8720	3.8271
1979.8237	3.8268
1982.0175	3.8265
1984.0496	3.8260
1986.2435	3.8257
1988.4376	3.8251
1990.5507	3.8247
1992.5014	3.8244
1994.7769	3.8238
1996.8900	3.8235
1999.0031	3.8230
2001.1162	3.8227
2003.1477	3.8222
2005.2607	3.8219
2007.4556	3.8215
2009.4868	3.8210
2011.5998	3.8207
2013.7128	3.8202
2015.9080	3.8198
2018.0211	3.8193
2020.0519	3.8190
2022.1649	3.8186
2024.2780	3.8181
2026.3910	3.8178
2028.5867	3.8173
2030.6170	3.8169
2032.7301	3.8166
2034.9260	3.8161
2036.9561	3.8158
2039.0691	3.8154
2041.2653	3.8151
2043.2952	3.8146
2045.4916	3.8141
2047.6047	3.8137
2049.6343	3.8134
2051.8309	3.8129
2053.8603	3.8125
2055.9733	3.8122
2058.0864	3.8117
2060.1994	3.8112
2062.3964	3.8109
2064.5096	3.8105
2066.5385	3.8102
2068.6515	3.8097
2070.8489	3.8093
2072.8775	3.8090
2075.0751	3.8085
2077.1036	3.8082
2079.2166	3.8079
2081.4144	3.8073
2083.5276	3.8068
2085.6407	3.8064
2087.6687	3.8062
2089.8669	3.8056
2091.9800	3.8053
2094.0078	3.8050
2096.1208	3.8047
2098.2338	3.8042
2100.4324	3.8038
2102.4599	3.8035
2104.5729	3.8032
2106.6859	3.8027
2108.8849	3.8024
2110.9980	3.8019
2113.0250	3.8016
2115.1380	3.8012
2117.2511	3.8007
2119.4504	3.8003
2121.6500	3.8000
2123.6767	3.7995
2125.7898	3.7992
2127.8162	3.7989
2129.9292	3.7984
2132.1291	3.7981
2134.1553	3.7978
2136.2683	3.7974
2138.3813	3.7969
2140.4943	3.7966
2142.6947	3.7960
2144.7204	3.7958
2146.8334	3.7952
2148.8589	3.7949
2151.0595	3.7945
2153.1725	3.7942
2155.2855	3.7937
2157.3106	3.7935
2159.5996	3.7929
2161.5365	3.7926
2163.6494	3.7923
2165.8506	3.7920
2167.8753	3.7916
2170.1651	3.7913
2172.2782	3.7908
2174.3913	3.7905
2176.4158	3.7900
2178.6176	3.7896
2180.7307	3.7893
2182.6659	3.7890
2184.7788	3.7885
2186.9809	3.7882
2189.0047	3.7879
2191.2069	3.7876
2193.3200	3.7871
