
capacity	voltage
988.7761	4.1167
990.8889	4.1161
993.0016	4.1154
995.1144	4.1146
997.2272	4.1140
999.3794	4.1134
1001.4527	4.1128
1003.5655	4.1122
1005.6783	4.1115
1007.7910	4.1108
1009.9038	4.1102
1012.0565	4.1096
1014.1693	4.1086
1016.2822	4.1082
1018.3950	4.1076
1020.4676	4.1068
1022.5804	4.1064
1024.6932	4.1056
1026.8883	4.1048
1028.9593	4.1042
1031.0315	4.1038
1033.1443	4.1030
1035.2570	4.1024
1037.4107	4.1016
1039.5236	4.1010
1041.6364	4.1004
1043.7081	4.0998
1045.8621	4.0992
1047.8909	4.0986
1050.0878	4.0977
1052.1592	4.0972
1054.3135	4.0964
1056.4264	4.0958
1058.5392	4.0952
1060.6103	4.0946
1062.7230	4.0941
1064.8778	4.0934
1066.9486	4.0928
1069.0613	4.0923
1071.1305	4.0914
1073.3292	4.0908
1075.4421	4.0900
1077.5124	4.0894
1079.6252	4.0888
1081.7806	4.0882
1083.8935	4.0876
1085.9635	4.0868
1088.0763	4.0862
1090.1890	4.0854
1092.3449	4.0848
1094.4577	4.0844
1096.5273	4.0838
1098.6834	4.0832
1100.7963	4.0824
1102.9092	4.0818
1104.9784	4.0812
1107.0461	4.0807
1109.2477	4.0797
1111.2714	4.0792
1113.4295	4.0786
1115.5423	4.0780
1117.6550	4.0774
1119.7678	4.0768
1121.8806	4.0761
1123.9475	4.0755
1126.0602	4.0748
1128.2189	4.0740
1130.2856	4.0734
1132.4891	4.0726
1134.5110	4.0722
1136.6700	4.0714
1138.7363	4.0710
1140.9405	4.0703
1143.0534	4.0696
1145.1210	4.0690
1147.2338	4.0684
1149.3466	4.0677
1151.4593	4.0671
1153.6176	4.0665
1155.6378	4.0659
1157.7505	4.0653
1159.9562	4.0647
1162.0690	4.0641
1164.1360	4.0633
1166.2487	4.0626
1168.4076	4.0620
1170.4743	4.0615
1172.5870	4.0609
1174.6998	4.0601
1176.8126	4.0595
1178.9719	4.0589
1181.0381	4.0584
1183.1509	4.0575
1185.2637	4.0571
1187.4233	4.0563
1189.4892	4.0558
1191.6490	4.0551
1193.7147	4.0546
1195.8747	4.0539
1197.9875	4.0533
1200.1004	4.0528
1202.1658	4.0520
1204.3261	4.0513
1206.4389	4.0508
1208.5041	4.0502
1210.6169	4.0496
1212.7297	4.0490
1214.8903	4.0484
1217.0032	4.0478
1219.1161	4.0471
1221.2289	4.0465
1223.3916	4.0456
1225.4546	4.0452
1227.5190	4.0446
1229.6803	4.0439
1231.7932	4.0433
1233.8574	4.0429
1236.0189	4.0423
1238.0829	4.0417
1240.1957	4.0410
1242.3574	4.0403
1244.4212	4.0397
1246.6339	4.0389
1248.6960	4.0383
1250.8088	4.0378
1252.9217	4.0372
1254.9851	4.0366
1257.1986	4.0359
1259.2106	4.0356
1261.3234	4.0348
1263.4860	4.0342
1265.5988	4.0334
1267.6617	4.0330
1269.7744	4.0323
1271.9374	4.0317
1274.0502	4.0311
1276.1631	4.0304
1278.2759	4.0299
1280.3888	4.0291
1282.5016	4.0285
1284.5638	4.0281
1286.7798	4.0273
1288.7894	4.0269
1290.9021	4.0262
1293.0149	4.0256
1295.1277	4.0250
1297.2404	4.0244
1299.3532	4.0238
1301.5173	4.0230
1303.6302	4.0224
1305.6915	4.0220
1307.8559	4.0212
1309.9687	4.0206
1312.0816	4.0200
1314.1426	4.0195
1316.3073	4.0188
1318.3681	4.0183
1320.5330	4.0174
1322.6458	4.0168
1324.7064	4.0163
1326.8192	4.0156
1328.9844	4.0150
1331.0448	4.0143
1333.1575	4.0139
1335.2703	4.0133
1337.3831	4.0127
1339.4958	4.0119
1341.6086	4.0113
1343.6666	4.0107
1345.8872	4.0101
1347.9469	4.0096
1350.0047	4.0090
1352.1173	4.0084
1354.3386	4.0076
1356.3980	4.0072
1358.5108	4.0064
1360.6235	4.0058
1362.7900	4.0052
1364.8491	4.0046
1367.0157	4.0040
1369.1286	4.0035
1371.1874	4.0029
1373.2442	4.0023
1375.4129	4.0017
1377.5257	4.0011
1379.6384	4.0003
1381.7512	3.9997
1383.9186	3.9991
1385.9768	3.9986
1388.0895	3.9980
1390.2023	3.9974
1392.3151	3.9968
1394.4278	3.9962
1396.5406	3.9956
1398.5964	3.9950
1400.8785	3.9942
1402.8789	3.9937
1405.0471	3.9930
1407.1045	3.9925
1409.2172	3.9919
1411.3300	3.9913
1413.4428	3.9907
1415.6114	3.9901
1417.7242	3.9893
1419.8371	3.9887
1422.0079	3.9881
1424.0628	3.9876
1426.1756	3.9870
1428.2885	3.9864
1430.4013	3.9858
1432.5142	3.9852
