Capacity (mAh), Voltage (V)
0.144847667, 4.442565217
0.145178222, 4.442565217
0.145508778, 4.442452451
0.145971556, 4.442268186
0.146302111, 4.442136568
0.146632667, 4.442130435
0.146963222, 4.442130435
0.147359889, 4.442130435
0.147690444, 4.441544447
0.148021, 4.441434765
0.148417667, 4.441303147
0.148748222, 4.441193465
0.149144889, 4.441130435
0.149475444, 4.441130435
0.149806, 4.440565217
0.150202667, 4.440565217
0.150533222, 4.440484244
0.150929889, 4.440371428
0.151260444, 4.440277415
0.151591, 4.440183402
0.151987667, 4.440130435
0.152318222, 4.439565217
0.152648778, 4.439565217
0.153045444, 4.439565217
0.153375931, 4.439469536
0.153772514, 4.439337945
0.154103069, 4.439228264
0.154433625, 4.439130435
0.154830292, 4.438565217
0.155160847, 4.438565217
0.155491403, 4.438565217
0.155888069, 4.438505516
0.156218625, 4.438395827
0.156549181, 4.438286138
0.156945764, 4.438154539
0.15727625, 4.437479656
0.157672917, 4.437348029
0.158003472, 4.43723834
0.158334028, 4.437130435
0.158730694, 4.437130435
0.15906125, 4.437130435
0.159391806, 4.436565217
0.159722361, 4.436465066
0.160119028, 4.436333448
0.160449583, 4.436223766
0.160780139, 4.436130435
0.161176806, 4.436130435
0.161573472, 4.435565217
0.161904028, 4.435565217
0.162300611, 4.435479107
0.162631097, 4.435369441
0.162961653, 4.435259752
0.163292208, 4.435150064
0.163688875, 4.435130435
0.164019431, 4.434565217
0.164349986, 4.434565217
0.164680542, 4.434558963
0.165077208, 4.434427345
0.165407764, 4.434317664
0.165738319, 4.434207982
0.166068875, 4.434130435
0.166399431, 4.434130435
0.166862208, 4.433565217
0.167192764, 4.433565217
0.167523319, 4.433557728
0.167919986, 4.433426102
0.168250542, 4.433316413
0.168581097, 4.432641507
0.168977764, 4.432565217
0.169308319, 4.432565217
0.169638875, 4.432565217
0.169969431, 4.432565217
0.170299986, 4.432505911
0.170630542, 4.432396229
0.171027208, 4.431699393
0.171357764, 4.431589711
0.171688319, 4.431565217
0.172018875, 4.431565217
0.172349431, 4.431565217
0.172679986, 4.431565217
0.173010542, 4.431476079
0.173407208, 4.431344453
0.173737764, 4.430669546
0.174068319, 4.430557178
0.174398875, 4.430392644
0.174729431, 4.430228111
0.175192208, 4.430130435
0.175522764, 4.429565217
0.175919431, 4.429565217
0.176249986, 4.429565217
0.176646653, 4.429565217
0.176977208, 4.429464164
0.177307764, 4.429354468
0.177704431, 4.429222833
0.178034986, 4.429130435
0.178431653, 4.428565217
0.178762208, 4.428565217
0.179158875, 4.428565217
0.179489431, 4.428500076
0.179952208, 4.427781305
0.180348875, 4.427649686
0.180679431, 4.427540004
0.181076097, 4.427408386
0.181406653, 4.427298704
0.181803319, 4.427167086
0.182133875, 4.427130435
0.182464431, 4.426565217
0.182861097, 4.426565217
0.183191653, 4.426565217
0.183588319, 4.426444369
0.183918875, 4.426334687
0.184249431, 4.425659788
0.184646097, 4.425565217
0.184976653, 4.425565217
0.185373319, 4.425565217
0.185703875, 4.425539507
0.186034431, 4.425429825
0.186364986, 4.424754926
0.186695542, 4.425210461
0.187026097, 4.424565217
0.187422764, 4.424565217
0.187753319, 4.424565217
0.188149986, 4.424565217
0.188480542, 4.424487744
0.188877208, 4.424356126
0.189207764, 4.423681227
0.189538319, 4.423571545
0.190001097, 4.423565217
0.190397764, 4.423565217
0.190728319, 4.423565217
0.191058875, 4.423501791
0.191389431, 4.422826891
0.191719986, 4.42271721
0.192050542, 4.422607528
0.192381097, 4.422497846
0.192711653, 4.422388164
0.193042208, 4.422278482
0.193372764, 4.421603583
0.193769431, 4.421565217
0.194099986, 4.421565217
0.194496653, 4.421565217
0.194827208, 4.421555765
0.195157764, 4.421446083
0.195488319, 4.421336402
0.195884986, 4.420639566
0.196215542, 4.420565217
0.196546097, 4.420565217
0.196876653, 4.420565217
0.197207208, 4.420565217
0.197603875, 4.420381574
0.197934431, 4.420130435
0.198397208, 4.419565217
0.198727764, 4.419565217
0.199058319, 4.419565217
0.199454986, 4.419565217
0.199785542, 4.419565217
0.200116097, 4.419534885
0.200512764, 4.418811725
0.200843319, 4.418680107
0.201173875, 4.418551277
0.201504431, 4.418441595
0.201901097, 4.418309977
0.202231653, 4.418200295
0.202628319, 4.417565217
0.202958875, 4.417565217
0.203355542, 4.417565217
0.203686097, 4.417565217
0.204082764, 4.417455642
0.204413319, 4.416780742
0.204809986, 4.416649124
0.205140542, 4.416539442
0.205537208, 4.416407824
0.205867764, 4.416298142
0.206264431, 4.416166524
0.206594986, 4.415565217
0.206991653, 4.415565217
0.207322208, 4.415565217
0.207718875, 4.415553489
0.207917208, 4.41548768
0.208049431, 4.415443807
0.208379986, 4.415334125
0.208776653, 4.414637289
0.209107208, 4.414565217
0.209503875, 4.414565217
0.209834431, 4.414565217
0.210164986, 4.414565217
0.210561653, 4.41447979
0.210892208, 4.414370108
0.211288875, 4.413673272
0.211619431, 4.413565217
0.211949986, 4.413565217
0.212280472, 4.413565217
0.212677056, 4.413565217
0.213007611, 4.41353776
0.213338167, 4.412862861
0.213734833, 4.412731243
0.214065389, 4.412621561
0.214395944, 4.412519499
0.214792611, 4.412406683
0.215123167, 4.41231267
0.215519833, 4.411634637
0.215850389, 4.411565217
0.216180944, 4.411565217
0.216577611, 4.411565217
0.216908167, 4.411565217
0.217304833, 4.410923458
0.217635389, 4.410813769
0.217965944, 4.41070408
0.218362611, 4.410572453
0.218693167, 4.410565217
0.219089833, 4.410565217
0.219420389, 4.41
0.219750944, 4.409943977
0.220147611, 4.409565217
0.220478167, 4.409565217
0.220874833, 4.409565217
0.221205389, 4.409498717
0.221535944, 4.408823818
0.221932611, 4.4086922
0.222263167, 4.408582518
0.222593722, 4.408565217
0.222990389, 4.408565217
0.223320944, 4.408565217
0.223717528, 4.408534698
0.224048014, 4.407859815
0.224444681, 4.407728188
0.224841347, 4.407596562
