Capacity (mAh), Voltage (V)
0.075873687, 0.101921647
0.07592525, 0.101940279
0.075976813, 0.101958912
0.076028376, 0.101977544
0.076079938, 0.101996177
0.076131501, 0.102014809
0.076183064, 0.102033442
0.076234627, 0.102052074
0.07628619, 0.102070707
0.076337753, 0.102089339
0.076389315, 0.102107971
0.076440878, 0.102126604
0.076492441, 0.102145236
0.076544004, 0.102163869
0.076595567, 0.102182501
0.07664713, 0.102201134
0.076698693, 0.102219766
0.076750255, 0.102238399
0.076801818, 0.102257031
0.076853381, 0.102275664
0.076904944, 0.102294296
0.076956507, 0.102312929
0.07700807, 0.102331561
0.077059632, 0.102350194
0.077111195, 0.102368826
0.077162758, 0.102387458
0.077214321, 0.102406091
0.077265884, 0.102424723
0.077317447, 0.102434791
0.077369009, 0.102437553
0.077420572, 0.102440315
0.077472135, 0.102443077
0.077523698, 0.102445838
0.077575261, 0.1024486
0.077626824, 0.102451362
0.077678386, 0.102454124
0.077729949, 0.102456578
0.077781512, 0.102456478
0.077833075, 0.102456379
0.077884638, 0.102456279
0.077936201, 0.102456179
0.077987764, 0.10245608
0.078039326, 0.10245598
0.078090889, 0.10245046
0.078142452, 0.102383328
0.078194015, 0.102316196
0.078245578, 0.102249065
0.078297141, 0.102181933
0.078348703, 0.102114801
0.078400266, 0.102047669
0.078451829, 0.101980537
0.078503392, 0.101913405
0.078554955, 0.101900866
0.078606518, 0.101917879
0.07865808, 0.101934891
0.078709643, 0.101951904
0.078761206, 0.101968917
0.078812769, 0.101985929
0.078864332, 0.102002942
0.078915895, 0.102020962
0.078967457, 0.102039595
0.07901902, 0.102058227
0.079070583, 0.10207686
0.079122146, 0.102095492
0.079173709, 0.102114125
0.079225272, 0.102133127
0.079276835, 0.102153705
0.079328397, 0.102174283
0.07937996, 0.102194861
0.079431523, 0.102215439
0.079483086, 0.102236017
0.079534649, 0.102256595
0.079586212, 0.102277173
0.079637774, 0.102297751
0.079689337, 0.102318329
0.0797409, 0.102338908
0.079792463, 0.102355351
0.079844026, 0.102370474
0.079895589, 0.102385596
0.079947151, 0.102400719
0.079998714, 0.102415842
0.080050277, 0.102430965
0.08010184, 0.102446088
0.080153403, 0.102453786
0.080204966, 0.102458755
0.080256528, 0.102463723
0.080308091, 0.102468692
0.080359654, 0.102473661
0.080411217, 0.10247863
0.08046278, 0.102483599
0.080514343, 0.102488568
0.080565905, 0.102493536
0.080617468, 0.102498505
0.080669031, 0.102503474
0.080720594, 0.102508443
0.080772157, 0.102513412
0.08082372, 0.102518381
0.080875283, 0.10252335
0.080926845, 0.102528319
0.080978408, 0.102533287
0.081029971, 0.102538256
0.081081534, 0.102543225
0.081133097, 0.102548194
0.08118466, 0.102553163
0.081236222, 0.102558132
0.081287785, 0.10254914
0.081339348, 0.102497279
0.081390911, 0.102445418
0.081442474, 0.102393556
0.081494037, 0.102341695
0.081545599, 0.102289834
0.081597162, 0.102237973
0.081648725, 0.102186111
0.081700288, 0.10213425
0.081751851, 0.102141452
0.081803414, 0.10216203
0.081854976, 0.102182609
0.081906539, 0.102203187
0.081958102, 0.102223765
0.082009665, 0.102244343
0.082061228, 0.102264921
0.082112791, 0.102285499
0.082164354, 0.102306077
0.082215916, 0.102326655
0.082267479, 0.102347233
0.082319042, 0.102367811
0.082370605, 0.102388389
0.082422168, 0.102408967
