
capacity	voltage
1031.1562	4.0966
1033.3534	4.0958
1035.4666	4.0952
1037.5798	4.0945
1039.6930	4.0938
1041.7638	4.0932
1043.8769	4.0926
1045.9474	4.0919
1048.1458	4.0911
1050.2162	4.0906
1052.3722	4.0899
1054.4424	4.0893
1056.5556	4.0885
1058.6687	4.0880
1060.7818	4.0873
1062.8949	4.0867
1065.0514	4.0859
1067.2081	4.0853
1069.2778	4.0845
1071.3473	4.0839
1073.4604	4.0833
1075.5736	4.0827
1077.6867	4.0819
1079.8438	4.0813
1081.9570	4.0807
1084.0260	4.0801
1086.1391	4.0795
1088.2522	4.0787
1090.3653	4.0781
1092.4784	4.0775
1094.6362	4.0766
1096.7047	4.0761
1098.8178	4.0755
1100.9309	4.0746
1103.0890	4.0740
1105.2021	4.0734
1107.3153	4.0728
1109.3833	4.0720
1111.5417	4.0713
1113.6096	4.0710
1115.7681	4.0702
1117.8813	4.0694
1119.9945	4.0687
1122.0620	4.0681
1124.1751	4.0674
1126.2882	4.0668
1128.3554	4.0662
1130.5144	4.0655
1132.6737	4.0649
1134.7407	4.0642
1136.8538	4.0636
1138.9669	4.0629
1141.0335	4.0621
1143.2397	4.0613
1145.3062	4.0609
1147.4193	4.0601
1149.5324	4.0595
1151.6925	4.0589
1153.7587	4.0581
1155.9189	4.0574
1158.0321	4.0568
1160.1453	4.0560
1162.2111	4.0555
1164.3717	4.0549
1166.4373	4.0542
1168.5981	4.0536
1170.7113	4.0529
1172.7767	4.0523
1174.8898	4.0516
1177.0029	4.0510
1179.1641	4.0504
1181.2772	4.0496
1183.3904	4.0490
1185.5036	4.0484
1187.6168	4.0476
1189.6816	4.0470
1191.7947	4.0465
1193.9078	4.0456
1196.0209	4.0450
1198.1828	4.0443
1200.2471	4.0438
1202.3112	4.0432
1204.4733	4.0426
1206.5864	4.0418
1208.6996	4.0414
1210.8620	4.0404
1212.9258	4.0398
1214.9894	4.0392
1217.1520	4.0386
1219.3148	4.0380
1221.3782	4.0374
1223.4913	4.0368
1225.6544	4.0360
1227.7176	4.0354
1229.8307	4.0346
1231.9940	4.0339
1234.0066	4.0334
1236.1196	4.0327
1238.2327	4.0320
1240.3962	4.0314
1242.5093	4.0308
1244.6732	4.0301
1246.6848	4.0296
1248.8487	4.0288
1250.9618	4.0282
1253.0749	4.0276
1255.2392	4.0269
1257.3011	4.0262
1259.3629	4.0258
1261.5273	4.0250
1263.6404	4.0244
1265.7536	4.0238
1267.9183	4.0230
1270.0315	4.0224
1272.1447	4.0217
1274.2579	4.0212
1276.3191	4.0204
1278.4843	4.0200
1280.5453	4.0194
1282.6062	4.0186
1284.7716	4.0180
1286.8847	4.0172
1289.0503	4.0165
1291.1109	4.0159
1293.2240	4.0153
1295.3371	4.0146
1297.3974	4.0140
1299.5104	4.0134
1301.6764	4.0128
1303.8427	4.0119
1305.8495	4.0113
1307.9625	4.0107
1310.1289	4.0099
1312.2420	4.0093
1314.3016	4.0088
1316.4146	4.0081
1318.5276	4.0075
1320.6406	4.0069
1322.8076	4.0061
1324.9747	4.0055
1327.0879	4.0049
1329.1469	4.0043
1331.2600	4.0035
1333.3731	4.0029
1335.4862	4.0023
1337.5993	4.0017
1339.7124	4.0011
1341.8256	4.0003
1343.8839	3.9997
1345.9969	3.9991
1348.1649	3.9983
1350.2230	3.9977
1352.4462	3.9969
1354.4490	3.9963
1356.6173	3.9957
1358.7304	3.9950
1360.8436	3.9944
1362.9567	3.9936
1365.0698	3.9931
1367.1272	3.9925
1369.2402	3.9919
1371.2973	3.9913
1373.4663	3.9907
1375.5232	3.9899
1377.7484	3.9892
1379.8053	3.9886
1381.9747	3.9878
1384.1442	3.9872
1386.2009	3.9866
1388.2574	3.9860
1390.3705	3.9854
1392.5402	3.9846
1394.5965	3.9841
1396.7095	3.9834
1398.8226	3.9828
1400.9356	3.9820
1403.1058	3.9812
1405.2189	3.9808
1407.3320	3.9800
1409.4451	3.9794
1411.5582	3.9788
1413.5561	3.9782
1415.7268	3.9774
1417.8398	3.9767
1420.0107	3.9760
1422.0658	3.9756
1424.1789	3.9748
1426.3500	3.9741
1428.4049	3.9736
1430.5179	3.9730
1432.6310	3.9721
1434.7440	3.9715
1436.9156	3.9709
1438.9700	3.9702
1441.0831	3.9695
1443.1961	3.9689
1445.3680	3.9681
1447.4221	3.9677
1449.5352	3.9670
1451.6482	3.9663
1453.7612	3.9657
1455.8742	3.9649
1457.9873	3.9643
1460.1598	3.9635
1462.2729	3.9629
1464.3860	3.9623
1466.4991	3.9617
1468.5524	3.9611
1470.7253	3.9602
1472.7784	3.9597
1474.8915	3.9590
1477.0045	3.9583
1479.1175	3.9577
1481.2909	3.9570
1483.3436	3.9565
1485.4566	3.9559
1487.5696	3.9553
1489.6826	3.9544
1491.7957	3.9538
1493.9696	3.9532
1496.0827	3.9524
1498.1347	3.9519
1500.3089	3.9512
1502.2996	3.9507
1504.4738	3.9499
1506.5868	3.9492
1508.6999	3.9486
1510.8129	3.9480
1512.9259	3.9472
1515.1624	3.9466
1517.1520	3.9460
1519.2031	3.9454
1521.3780	3.9448
1523.4910	3.9442
1525.6041	3.9434
1527.7171	3.9428
1529.7678	3.9422
1531.9431	3.9414
1534.1187	3.9406
1536.1692	3.9402
1538.3449	3.9396
1540.3952	3.9390
1542.5083	3.9384
1544.6213	3.9376
1546.7343	3.9370
1548.9104	3.9362
1551.0236	3.9356
1553.1367	3.9348
1555.2498	3.9342
1557.3629	3.9336
1559.4760	3.9330
1561.5891	3.9322
1563.7022	3.9316
1565.8153	3.9310
1567.8646	3.9304
1570.0416	3.9298
1572.1547	3.9290
1574.2036	3.9284
1576.3809	3.9278
1578.4940	3.9272
1580.6071	3.9265
1582.7847	3.9257
1584.8333	3.9251
1586.9464	3.9245
1589.0596	3.9239
1591.1078	3.9234
1593.2209	3.9226
1595.4639	3.9220
1597.4469	3.9216
1599.6903	3.9207
1601.7382	3.9202
1603.9167	3.9193
1605.9644	3.9188
1608.1431	3.9182
1610.1907	3.9176
1612.3038	3.9170
1614.4169	3.9162
1616.4641	3.9158
1618.5772	3.9150
1620.6902	3.9145
1622.8693	3.9138
1625.0487	3.9130
1627.0956	3.9124
1629.1423	3.9120
1631.3218	3.9115
1633.3683	3.9109
1635.4814	3.9103
1637.5944	3.9095
1639.7074	3.9089
1641.8204	3.9083
1643.9335	3.9077
1646.1136	3.9072
1648.2267	3.9066
1650.3398	3.9060
1652.3856	3.9055
1654.4986	3.9049
1656.5441	3.9043
1658.7246	3.9036
1660.9053	3.9030
1663.0184	3.9025
1665.0637	3.9020
1667.1767	3.9013
1669.2898	3.9008
1671.4028	3.9002
1673.5158	3.8996
1675.6288	3.8990
1677.7419	3.8984
1679.9233	3.8978
1681.8994	3.8973
1684.2182	3.8965
1686.1940	3.8961
1688.3070	3.8955
1690.4889	3.8949
1692.6020	3.8944
1694.6461	3.8939
1696.8282	3.8933
1698.8721	3.8929
1701.1238	3.8921
1703.0982	3.8915
1705.2112	3.8911
1707.3242	3.8904
1709.5069	3.8898
1711.5503	3.8894
1713.6633	3.8889
1715.7763	3.8883
1717.8893	3.8877
1719.9323	3.8872
1722.0452	3.8866
1724.2284	3.8862
1726.3414	3.8856
1728.3840	3.8851
1730.5675	3.8845
1732.7511	3.8839
1734.7935	3.8836
1736.9066	3.8830
1739.0196	3.8825
1741.1326	3.8820
1743.3167	3.8814
1745.4298	3.8808
1747.5429	3.8804
1749.6560	3.8798
1751.7691	3.8795
1753.8108	3.8790
1755.9953	3.8784
1758.1084	3.8779
1760.1498	3.8775
1762.2629	3.8769
1764.3040	3.8766
1766.5609	3.8758
1768.6019	3.8755
1770.7150	3.8749
1772.8280	3.8744
1774.9410	3.8740
1777.0540	3.8735
1779.3121	3.8729
1781.2801	3.8724
1783.3931	3.8720
1785.5789	3.8715
1787.6920	3.8709
1789.8051	3.8705
1791.8452	3.8701
1794.0313	3.8695
1796.1444	3.8689
1798.2576	3.8686
1800.2973	3.8682
1802.4103	3.8677
1804.5234	3.8672
1806.6364	3.8668
1808.7494	3.8665
1810.8624	3.8660
1813.1232	3.8654
1815.1624	3.8650
1817.2015	3.8647
1819.3145	3.8642
1821.5018	3.8636
1823.5406	3.8631
1825.8024	3.8625
1827.8411	3.8621
1829.8797	3.8618
1832.0673	3.8613
1834.2552	3.8608
1836.2187	3.8605
