
Cap(mAh)	Voltage
0.102743528	0.130391304
0.103171111	0.130391304
0.103537611	0.130391304
0.103843028	0.130391304
0.104209528	0.130391304
0.104637111	0.130391304
0.104942528	0.130391304
0.105247944	0.130391304
0.105553361	0.130391304
0.105919861	0.130391304
0.106225278	0.130391304
0.106530694	0.130391304
0.106897194	0.130391304
0.107202611	0.130391304
0.107569111	0.130391304
0.107874528	0.130391304
0.108241028	0.130391304
0.108546444	0.130391304
0.108912944	0.130391304
0.109279444	0.130391304
0.109584861	0.130391304
0.109951361	0.130391304
0.110256778	0.130391304
0.110562194	0.130391304
0.110867611	0.130391304
0.111173028	0.130391304
0.111478444	0.130391304
0.111783861	0.130391304
0.112089278	0.130391304
0.112394694	0.130391304
0.112761194	0.130391304
0.113066611	0.130391304
0.113372028	0.130391304
0.113738528	0.130391304
0.114043944	0.130391304
0.114410444	0.130391304
0.114715861	0.130391304
0.115082361	0.130391304
0.115387778	0.130391304
0.115754278	0.130391304
0.116059694	0.13036109
0.116426194	0.130229416
0.116731611	0.130119688
0.117037028	0.130009959
0.117464611	0.129956522
0.117770028	0.129956522
0.118136528	0.129956522
0.118441944	0.129956522
0.118808444	0.129956522
0.119113861	0.129956522
0.119480361	0.129956522
0.119846861	0.129956522
0.120152278	0.129956522
0.120518778	0.129956522
0.120824194	0.129956522
0.121190694	0.129956522
0.121557194	0.129956522
0.121862611	0.129956522
0.122229111	0.129956522
0.122534528	0.129956522
0.122901028	0.129956522
0.123206444	0.129956522
0.123511861	0.129956522
0.123878361	0.129956522
0.124183778	0.129956522
0.124550278	0.129956522
0.124855694	0.129956522
0.125222194	0.129956522
0.125527611	0.129956522
0.125894111	0.129956522
0.126199528	0.129956522
0.126566028	0.129956522
0.126871444	0.129956522
0.127237944	0.129956522
0.127543361	0.129956522
0.127909861	0.129956522
0.128276361	0.129956522
0.128581778	0.129956522
0.128948278	0.129956522
0.129253694	0.129956522
0.129620278	0.129956522
0.129925764	0.129956522
0.130292264	0.129956522
0.130597681	0.129956522
0.130964181	0.129956522
0.131269597	0.129956522
0.131636097	0.129956522
0.131941514	0.129956522
0.132308014	0.129956522
0.132674514	0.129956522
0.132979931	0.129956522
0.133346431	0.129956522
0.133651847	0.129956522
0.134018347	0.129956522
0.134323764	0.129956522
0.134690264	0.129956522
0.135056764	0.129956522
0.135362181	0.129956522
0.135728681	0.129956522
0.136034097	0.129956522
0.136339514	0.129956522
0.136828181	0.129956522
0.137133597	0.129956522
0.137500097	0.129956522
0.137805514	0.129956522
0.138172014	0.129956522
0.138477431	0.129956522
0.138844014	0.129956522
0.139210597	0.129956522
0.139516014	0.129956522
0.139821431	0.129956522
0.140187931	0.129956522
0.140493347	0.129956522
0.140859847	0.129956522
0.141165264	0.129956522
0.141531764	0.129956522
0.141837181	0.129956522
0.142203681	0.129956522
0.142509097	0.129956522
0.142875597	0.129956522
0.143181014	0.129956522
0.143547514	0.129956522
0.143852931	0.129956522
0.144219431	0.129956522
0.144524847	0.129956522
0.144891347	0.129956522
0.145257847	0.129956522
0.145563264	0.129956522
0.145929764	0.129956522
0.146235181	0.129956522
0.146601681	0.129956522
0.147029264	0.129956522
0.147395764	0.129956522
0.147701181	0.129956522
0.148128764	0.129956522
0.148434181	0.129956522
0.148800681	0.129956522
0.149106097	0.129956522
0.149411514	0.129956522
0.149778014	0.129956522
0.150144514	0.129956522
0.15045	0.129956522
0.150816583	0.129956522
0.151122	0.129956522
0.151488583	0.129956522
0.151794069	0.129956522
0.152160569	0.129956522
0.152527069	0.129956522
0.152832486	0.129956522
0.153198986	0.129956522
0.153565486	0.129956522
0.153870903	0.129956522
0.154176319	0.129956522
0.154542819	0.129956522
0.154848306	0.129956522
0.155214889	0.129956522
0.155520306	0.129956522
0.155886806	0.129956522
0.156253306	0.129956522
0.156558722	0.129941537
0.156925222	0.129809863
0.157230639	0.129700134
0.157658222	0.129546514
0.158024722	0.129628638
0.158330139	0.129738367
0.158696639	0.129870041
0.159002056	0.129933273
0.159368556	0.129801599
0.159673972	0.129691871
0.160040472	0.129560197
0.160345889	0.129521739
0.160651306	0.129521739
0.161017806	0.129521739
0.161384306	0.129521739
0.161689722	0.129521739
0.162056222	0.129521739
0.162361639	0.129521739
0.162728139	0.129521739
0.163094639	0.129521739
0.163400056	0.129521739
0.163766556	0.129521739
0.164071972	0.129521739
0.164438472	0.129521739
0.164804972	0.129521739
0.165110389	0.129521739
0.165476889	0.129521739
0.165782306	0.129521739
0.166148806	0.129521739
0.166515306	0.129521739
0.166820722	0.129521739
0.167187222	0.129521739
0.167492639	0.129521739
0.167859139	0.129521739
0.168225639	0.129521739
0.168531056	0.129521739
0.168897556	0.129521739
0.169264056	0.129521739
0.169569472	0.129521739
0.169874889	0.129521739
0.170241389	0.129521739
0.170607889	0.129521739
0.170913306	0.129521739
0.171279806	0.129521739
0.171585222	0.129521739
0.171951722	0.129521739
0.172318222	0.129521739
0.172623639	0.129521739
0.172990139	0.129521739
0.173417722	0.129521739
0.173784222	0.129521739
0.174089639	0.129521739
0.174456139	0.129521739
0.174822639	0.129521739
0.175128125	0.129521739
0.175494708	0.129521739
0.175861208	0.129521739
0.176166625	0.129521739
0.176533125	0.129521739
0.176899625	0.129521739
0.177205042	0.129521739
0.177571542	0.129521739
0.177938042	0.129521739
0.178365722	0.129521739
0.178732306	0.129521739
0.179037722	0.129521739
0.179404222	0.129521739
0.179770722	0.129521739
0.180076139	0.129521739
0.180442639	0.129521739
0.180809139	0.129521739
0.181175639	0.129521739
0.181481056	0.129521739
0.181847556	0.130086957
0.182152972	0.130086957
0.182458389	0.130086957
0.182824889	0.130086957
